Gene.symbol,Probe_count,Representative_probe,logFC,adj.P.Val,P.Value,DEG_status,Direction_consistency,All_probe_IDs
PDCD6IPP2,1,217520_x_at,-1.09947832,1.05e-14,2.38e-16,Down,Down,217520_x_at
NEBL,3,203962_s_at,-1.27124394,1.09e-14,2.47e-16,Down,Down,203962_s_at|203961_at|241782_at
AHR,1,202820_at,1.1781491,1.09e-14,2.46e-16,Up,Up,202820_at
EVA1A,1,227828_s_at,1.90820071,1.1e-14,2.49e-16,Up,Up,227828_s_at
MAGI2,1,209737_at,-1.10647815,1.13e-14,2.55e-16,Down,Down,209737_at
PRKX,2,204061_at,-1.49494988,1.16e-14,2.62e-16,Down,Down,204061_at|204060_s_at
TDRD9,1,228285_at,-2.52375146,1.21e-14,2.74e-16,Down,Down,228285_at
IGSF3,1,202421_at,1.19075985,1.21e-14,2.76e-16,Up,Up,202421_at
OMD,2,205908_s_at,-1.79095329,1.22e-14,2.78e-16,Down,Down,205908_s_at|205907_s_at
COL4A1,2,211980_at,1.09957837,1.24e-14,2.84e-16,Up,Up,211980_at|211981_at
SUSD2,1,227480_at,1.26243861,1.28e-14,2.93e-16,Up,Up,227480_at
CUX2,1,213920_at,-2.23448223,1.29e-14,2.95e-16,Down,Down,213920_at
LOC646903,1,237116_at,-1.22318,1.3e-14,3e-16,Down,Down,237116_at
TCF7L1,1,221016_s_at,-1.2452674,1.33e-14,3.07e-16,Down,Down,221016_s_at
UBE2QL1,2,226612_at,1.88330844,1.43e-14,3.32e-16,Up,Up,226612_at|226618_at
ALDH6A1,2,204290_s_at,-1.0854195,1.43e-14,3.31e-16,Down,Down,204290_s_at|221589_s_at
PDPN,1,221898_at,-1.11850603,1.51e-14,3.51e-16,Down,Down,221898_at
DCN,4,211896_s_at,-1.87980832,1.58e-14,3.71e-16,Down,Down,211896_s_at|211813_x_at|201893_x_at|209335_at
HSPB11,1,203960_s_at,-1.08572262,1.58e-14,3.71e-16,Down,Down,203960_s_at
AKR1C2,3,209699_x_at,-1.67816033,1.62e-14,3.82e-16,Down,Down,209699_x_at|211653_x_at|1555854_at
LOC101930400,3,209699_x_at,-1.67816033,1.62e-14,3.82e-16,Down,Down,209699_x_at|211653_x_at|1555854_at
ELOVL6,1,204256_at,1.24087485,1.62e-14,3.81e-16,Up,Up,204256_at
TRIM14,1,203148_s_at,1.55080758,1.66e-14,3.9e-16,Up,Up,203148_s_at
FBLN5,1,203088_at,-1.17496612,1.7e-14,4e-16,Down,Down,203088_at
FCGBP,1,203240_at,-1.54308705,1.72e-14,4.07e-16,Down,Down,203240_at
FOLH1,2,215363_x_at,1.32377913,1.78e-14,4.23e-16,Up,Up,215363_x_at|205860_x_at
FOLH1B,2,215363_x_at,1.32377913,1.78e-14,4.23e-16,Up,Up,215363_x_at|205860_x_at
DNAJC3-AS1,1,240574_at,-1.21555384,1.8e-14,4.29e-16,Down,Down,240574_at
PQLC2L,2,1558552_s_at,-1.12244975,1.88e-14,4.5e-16,Down,Down,1558552_s_at|238969_at
TMEM267,1,219029_at,-1.04574026,1.89e-14,4.52e-16,Down,Down,219029_at
LOXL2,1,202998_s_at,1.38144634,1.91e-14,4.59e-16,Up,Up,202998_s_at
C8orf31,1,1552793_at,-1.34027406,1.92e-14,4.61e-16,Down,Down,1552793_at
WASF3,1,204042_at,-1.23351861,2.03e-14,4.91e-16,Down,Down,204042_at
SFN,3,33323_r_at,2.34965931,2.08e-14,5.04e-16,Up,Up,33323_r_at|33322_i_at|209260_at
LRG1,1,228648_at,1.29896099,2.12e-14,5.14e-16,Up,Up,228648_at
NOTCH3,1,203238_s_at,1.18452804,2.22e-14,5.39e-16,Up,Up,203238_s_at
CHRDL1,1,209763_at,-2.5020154,2.35e-14,5.72e-16,Down,Down,209763_at
TENM3,1,219523_s_at,-1.46297336,2.37e-14,5.77e-16,Down,Down,219523_s_at
CLDN10,1,205328_at,3.01751875,2.4e-14,5.87e-16,Up,Up,205328_at
SHC3,1,229824_at,1.60053724,2.45e-14,6e-16,Up,Up,229824_at
LAMC2,1,202267_at,1.05839348,2.47e-14,6.07e-16,Up,Up,202267_at
MT1F,2,213629_x_at,-1.76926519,2.48e-14,6.09e-16,Down,Down,213629_x_at|217165_x_at
LOC100128727,1,240395_at,-2.63106326,2.57e-14,6.32e-16,Down,Down,240395_at
IMPA2,1,203126_at,-1.55231268,2.6e-14,6.41e-16,Down,Down,203126_at
ARNTL,2,209824_s_at,1.54978233,2.85e-14,7.07e-16,Up,Up,209824_s_at|210971_s_at
CECR2,1,239752_at,-1.21303288,2.89e-14,7.17e-16,Down,Down,239752_at
ADM,1,202912_at,1.88969507,3.05e-14,7.6e-16,Up,Up,202912_at
IGSF1,2,207695_s_at,3.07471913,3.12e-14,7.8e-16,Up,Up,207695_s_at|223807_at
H2AFX,1,205436_s_at,1.05445207,3.19e-14,7.99e-16,Up,Up,205436_s_at
RRAS,1,212647_at,1.00315157,3.2e-14,8.01e-16,Up,Up,212647_at
CHRM3,2,214596_at,1.54951004,3.24e-14,8.13e-16,Up,Up,214596_at|242488_at
ARHGDIB,2,201288_at,1.55908907,3.27e-14,8.23e-16,Up,Up,201288_at|1555812_a_at
FAS,4,204781_s_at,1.53993632,3.35e-14,8.44e-16,Up,Up,204781_s_at|204780_s_at|215719_x_at|216252_x_at
FAR2P2,1,226809_at,-1.26401322,3.96e-14,1.01e-15,Down,Down,226809_at
FAR2P3,1,226809_at,-1.26401322,3.96e-14,1.01e-15,Down,Down,226809_at
SPOCK1,1,202363_at,1.98678714,4.11e-14,1.05e-15,Up,Up,202363_at
SDPR,2,218711_s_at,-1.85155158,4.26e-14,1.09e-15,Down,Down,218711_s_at|222717_at
LEMD1,1,229927_at,1.88674302,4.36e-14,1.12e-15,Up,Up,229927_at
PRKY,1,204060_s_at,-1.24343946,4.86e-14,1.26e-15,Down,Down,204060_s_at
B4GALT6,2,235333_at,1.45234691,4.96e-14,1.29e-15,Up,Up,235333_at|206233_at
NAT8L,1,228880_at,1.48612404,5.38e-14,1.41e-15,Up,Up,228880_at
CYBRD1,1,217889_s_at,-1.17151246,5.38e-14,1.41e-15,Down,Down,217889_s_at
PKNOX2,3,63305_at,-1.47286897,5.67e-14,1.49e-15,Down,Down,63305_at|222171_s_at|219046_s_at
CPQ,1,208454_s_at,-1.08136608,6.15e-14,1.63e-15,Down,Down,208454_s_at
SYNM,1,212730_at,-1.0649943,6.2e-14,1.65e-15,Down,Down,212730_at
ETV1,1,221911_at,1.43204997,6.29e-14,1.67e-15,Up,Up,221911_at
SPRY1,2,230212_at,1.09962646,6.32e-14,1.68e-15,Up,Up,230212_at|212558_at
EYA2,1,209692_at,-1.17763256,6.65e-14,1.78e-15,Down,Down,209692_at
POSTN,2,210809_s_at,2.49027536,6.74e-14,1.81e-15,Up,Up,210809_s_at|1555778_a_at
