"Rank","Gene","Relevance_score"
"568","TERC","32.2485847473145"
"569","PLAU","32.2422142028809"
"570","GREP1","32.2412719726563"
"571","HSPA5","32.2362861633301"
"572","MTA1","32.2078132629395"
"573","TP73","32.1523132324219"
"574","HSP90AA1","32.1390495300293"
"575","MIR27B","32.1266403198242"
"576","KDM6A","32.0830078125"
"577","ENO1","32.0703163146973"
"578","VIM","32.0590476989746"
"579","HDAC1","32.0393676757813"
"580","SLX4","32.0329208374023"
"581","MIR25","32.0094146728516"
"582","DLEC1","31.9978313446045"
"583","CCND3","31.9617881774902"
"584","LOC100507346","31.9587059020996"
"585","FGF2","31.9475021362305"
"586","BCL10","31.9338722229004"
"587","CALML3-AS1","31.9282417297363"
"588","LOC107303340","31.9116249084473"
"589","RUNX1-IT1","31.8626861572266"
"590","BCAR1","31.8231296539307"
"591","MYCN","31.8127288818359"
"592","MIR373","31.8032493591309"
"593","ERCC6","31.7520923614502"
"594","DIO3OS","31.7390632629395"
"595","DOCK9-DT","31.7180328369141"
"596","NPSR1-AS1","31.6916561126709"
"597","MIR122","31.6729888916016"
"598","DCC","31.6065540313721"
"599","KLK3","31.6064491271973"
"600","PRL","31.5921630859375"
"601","HCG18","31.5906047821045"
"602","ERG","31.5891647338867"
"603","CD40","31.5773963928223"
"604","RINT1","31.5711975097656"
"605","SNHG8","31.55104637146"
"606","CHGA","31.4520454406738"
"607","DDB2","31.3915309906006"
"608","LOC111589215","31.3751029968262"
"609","POMC","31.35813331604"
"610","TNFRSF10B","31.3497352600098"
"611","SNHG3","31.337194442749"
"612","INSR","31.3233776092529"
"613","MAP2K4","31.306324005127"
"614","PBRM1","31.2938461303711"
"615","MCM3AP-AS1","31.2649593353271"
"616","LINC01133","31.2633781433105"
"617","ANXA2","31.2412281036377"
"618","MIR101-1","31.2384185791016"
"619","LINC00665","31.2352485656738"
"620","SEPTIN9","31.204797744751"
"621","MSR1","31.1790027618408"
"622","BIRC3","31.1355361938477"
"623","ZNF674-AS1","31.1181106567383"
"624","KLF4","31.0992965698242"
"625","CDK1","31.0819129943848"
"626","TTR","31.03977394104"
"627","RXRA","30.9989852905273"
"628","ADAR","30.9859294891357"
"629","NSD1","30.9546737670898"
"630","HMMR","30.926362991333"
"631","MIR216A","30.8934154510498"
"632","SERPINE1","30.8771171569824"
"633","PHB1","30.8580780029297"
"634","MIR328","30.8564777374268"
"635","EOLA2-DT","30.847354888916"
"636","MIR98","30.8241310119629"
"637","TTN-AS1","30.8203792572021"
"638","CYP24A1","30.804744720459"
"639","TFG","30.7994575500488"
"640","LIG4","30.7989273071289"
"641","CBL","30.7766933441162"
"642","GACAT3","30.7587890625"
"643","PSCA","30.7532329559326"
"644","BCYRN1","30.7339172363281"
"645","EPHB2","30.7334175109863"
"646","TLR2","30.7255210876465"
"647","PPP2R2A","30.6062107086182"
"648","APEX1","30.5691223144531"
"649","CASC19","30.5267868041992"
"650","SP1","30.4474582672119"
"651","KMT2A","30.4225997924805"
"652","HLA-DQA1","30.4091911315918"
"653","MIR497","30.4080200195313"
"654","MIR215","30.4053249359131"
"655","TRHR","30.3922367095947"
"656","PTHLH","30.3897285461426"
"657","MIR34B","30.3372459411621"
"658","EIF1AX","30.3219184875488"
"659","MIR26B","30.3022918701172"
"660","CCDC26","30.2719535827637"
"661","PCNA","30.2360248565674"
"662","LMNA","30.2260932922363"
"663","CGA","30.2133731842041"
"664","S100A4","30.2071151733398"
"665","NME1","30.1965560913086"
"666","ICAM1","30.1799087524414"
"667","NQO1","30.1027011871338"
"668","CDKN3","30.0841979980469"
"669","FEZF1-AS1","30.0500297546387"
"670","MMP1","30.0055828094482"
"671","BISPR","30.0030822753906"
"672","MIR185","29.9690990447998"
"673","BIVM-ERCC5","29.9680633544922"
"674","MIR181B1","29.8998928070068"
"675","HLA-DQB1","29.8849868774414"
"676","PROP1","29.7572402954102"
"677","MIRLET7E","29.7421436309814"
"678","NCAM1","29.7346801757813"
"679","MIR324","29.7089042663574"
"680","AATBC","29.6951160430908"
"681","KDM1A","29.6507568359375"
"682","CASC8","29.6302871704102"
"683","TCIM","29.6257858276367"
"684","MMP14","29.6069431304932"
"685","MIR199B","29.5777435302734"
"686","WEE1","29.5450859069824"
"687","CAV1","29.5316314697266"
"688","STAT5B","29.5217399597168"
"689","HLA-B","29.5194110870361"
"690","TOE1","29.4450988769531"
"691","TGFA","29.436128616333"
"692","MIR125B1","29.4356174468994"
"693","LOXL1-AS1","29.3419380187988"
"694","MIR16-1","29.3229484558105"
"695","ALDH1A1","29.3019332885742"
"696","NCOA1","29.2311935424805"
"697","MIR152","29.1771850585938"
"698","SOS1","29.1093997955322"
"699","RMST","29.1079559326172"
"700","LINC00963","29.0918292999268"
"701","MIR338","29.0915241241455"
"702","HESX1","29.089147567749"
"703","MIR24-1","29.0740928649902"
"704","PIK3R2","29.0580043792725"
"705","THRSP","29.0276927947998"
"706","GNA11","29.0071544647217"
"707","SPP1","28.9871082305908"
"708","TRH","28.9713649749756"
"709","RUNX1-AS1","28.9618911743164"
"710","TXNRD2","28.9470806121826"
"711","NNT-AS1","28.9194316864014"
"712","TPR","28.8770236968994"
"713","ACTA2","28.8679313659668"
"714","HOXA11-AS","28.8378067016602"
"715","XRCC6","28.8298454284668"
"716","FOS","28.8142509460449"
"717","GSTT1","28.7899856567383"
"718","SLC26A7","28.7755794525146"
"719","TINCR","28.7661094665527"
"720","UNC5B-AS1","28.7597408294678"
"721","PTPRC","28.7482681274414"
"722","PCAT19","28.748046875"
"723","SBF2-AS1","28.6646556854248"
"724","LINC00671","28.6630020141602"
"725","MIR151A","28.6482677459717"
"726","SNHG20","28.6257495880127"
"727","MIR346","28.6169815063477"
"728","BRD4","28.6098747253418"
"729","DCTN5","28.5954093933105"
"730","MIR375","28.5773506164551"
"731","TRIM33","28.5224189758301"
"732","PIK3CB","28.5157203674316"
"733","TYMSOS","28.5145950317383"
"734","CFLAR","28.5014991760254"
"735","CRNDE","28.4998035430908"
"736","DIRC3","28.4790897369385"
"737","DLG1-AS1","28.4685096740723"
"738","CDC25B","28.4436912536621"
"739","WRAP53","28.4159812927246"
"740","NR1H2","28.4020500183105"
"741","LINC-ROR","28.3782577514648"
"742","PPP2R1B","28.3365097045898"
"743","MIR128-2","28.3333568572998"
"744","LINC01234","28.3131980895996"
"745","SOX4","28.3099708557129"
"746","TOP2A","28.2851791381836"
"747","TIMP1","28.2687015533447"
"748","CHD7","28.2453575134277"
"749","IL1A","28.2435073852539"
"750","DNMT3B","28.1917037963867"
"751","MIRLET7I","28.1590404510498"
"752","OGG1","28.1268272399902"
"753","DROSHA","28.1212921142578"
"754","KMT2C","28.1198596954346"
"755","PRMT5","28.1193141937256"
"756","BMP4","28.1129684448242"
"757","ZNF667-AS1","28.093656539917"
"758","MIR124-1","28.0631408691406"
"759","MIR429","28.0607109069824"
