Gene,GeneCards_rank,GeneCards_relevance_score,In_GeneCards_top2000,In_OMIM,Disease_source_pattern
RAD51B,267,45.6182174682617,Yes,No,"GeneCards top 2,000"
MIR214,268,45.461669921875,Yes,No,"GeneCards top 2,000"
NKX2-5,269,45.4011917114258,Yes,No,"GeneCards top 2,000"
TSHR-AS1,270,45.400520324707,Yes,No,"GeneCards top 2,000"
IGF2,271,45.3920669555664,Yes,No,"GeneCards top 2,000"
MIR195,272,45.3784484863281,Yes,No,"GeneCards top 2,000"
KLLN,273,45.1134605407715,Yes,No,"GeneCards top 2,000"
NCOR1,274,44.9993515014648,Yes,No,"GeneCards top 2,000"
FER1L4,275,44.9982604980469,Yes,No,"GeneCards top 2,000"
JUN,276,44.9618759155273,Yes,Yes,"GeneCards top 2,000 + OMIM"
MIR34A,277,44.918155670166,Yes,Yes,"GeneCards top 2,000 + OMIM"
IL10,278,44.8225135803223,Yes,No,"GeneCards top 2,000"
TP63,279,44.8084487915039,Yes,No,"GeneCards top 2,000"
CDK12,280,44.733081817627,Yes,No,"GeneCards top 2,000"
ARAP1-AS1,281,44.7288017272949,Yes,No,"GeneCards top 2,000"
AURKA,282,44.6996536254883,Yes,No,"GeneCards top 2,000"
HOXA-AS2,283,44.5718994140625,Yes,No,"GeneCards top 2,000"
MIR31HG,284,44.5380020141602,Yes,No,"GeneCards top 2,000"
JAK2,285,44.5201950073242,Yes,No,"GeneCards top 2,000"
CREBBP,286,44.4110679626465,Yes,No,"GeneCards top 2,000"
TH2LCRR,287,44.3894920349121,Yes,No,"GeneCards top 2,000"
LUCAT1,288,44.3787155151367,Yes,No,"GeneCards top 2,000"
CALCA,289,44.3746032714844,Yes,No,"GeneCards top 2,000"
LINC00261,290,44.260814666748,Yes,No,"GeneCards top 2,000"
EGF,291,44.1749725341797,Yes,No,"GeneCards top 2,000"
CDKN1C,292,44.0122032165527,Yes,No,"GeneCards top 2,000"
PTPN11,293,43.9962348937988,Yes,No,"GeneCards top 2,000"
PCA3,294,43.9691696166992,Yes,No,"GeneCards top 2,000"
LINC00958,295,43.965648651123,Yes,No,"GeneCards top 2,000"
IL1RN,296,43.9296607971191,Yes,No,"GeneCards top 2,000"
ABCB1,297,43.8656845092773,Yes,No,"GeneCards top 2,000"
DNMT3A,298,43.8594131469727,Yes,No,"GeneCards top 2,000"
MIRLET7C,299,43.8312149047852,Yes,No,"GeneCards top 2,000"
PPM1D,300,43.796028137207,Yes,No,"GeneCards top 2,000"
GATA3,301,43.7665023803711,Yes,No,"GeneCards top 2,000"
MIR141,302,43.524471282959,Yes,No,"GeneCards top 2,000"
FLT1,303,43.4296035766602,Yes,No,"GeneCards top 2,000"
FALEC,304,43.4239654541016,Yes,No,"GeneCards top 2,000"
FTX,305,43.3445739746094,Yes,No,"GeneCards top 2,000"
GATA2,306,43.2286224365234,Yes,No,"GeneCards top 2,000"
SHC1,307,43.1992568969727,Yes,No,"GeneCards top 2,000"
XRCC3,308,43.0969924926758,Yes,No,"GeneCards top 2,000"
